iter	Passed	Remaining
0	4	1141
1	7	945
2	10	836
3	10	662
4	17	847
5	22	931
6	28	972
7	33	1012
8	35	955
9	36	878
10	41	900
11	46	912
12	52	963
13	54	910
14	58	919
15	61	900
16	66	908
17	71	921
18	76	924
19	76	883
20	82	897
21	83	862
22	88	873
23	95	895
24	98	884
25	101	875
26	109	903
27	115	916
28	118	899
29	122	900
30	128	906
31	133	906
32	134	882
33	139	883
34	141	866
35	142	848
36	147	850
37	149	831
38	151	820
39	152	802
40	157	802
41	158	785
42	160	771
43	165	773
44	166	757
45	171	758
46	175	758
47	178	750
48	179	736
49	185	743
50	187	731
51	188	718
52	189	704
53	193	703
54	198	703
55	199	690
56	201	683
57	206	682
58	210	681
59	212	672
60	216	672
61	222	673
62	227	675
63	228	664
64	232	663
65	234	653
66	239	653
67	242	647
68	246	646
69	250	645
70	252	635
71	253	626
72	254	617
73	259	618
74	264	616
75	268	614
76	271	609
77	276	608
78	280	607
79	285	606
80	286	597
81	290	595
82	291	587
83	292	578
84	297	577
85	302	577
86	310	580
87	311	573
88	313	567
89	315	560
90	320	560
91	323	555
92	324	547
93	328	544
94	333	544
95	339	544
96	343	542
97	348	540
98	350	534
99	351	526
100	355	524
101	360	523
102	364	520
103	366	514
104	369	509
105	373	507
106	375	502
107	380	499
108	381	492
109	385	490
110	393	492
111	397	489
112	399	483
113	403	481
114	408	479
115	413	477
116	414	470
117	418	468
118	421	464
119	426	461
120	427	455
121	432	453
122	437	451
123	438	445
124	443	443
125	444	437
126	446	432
127	451	430
128	453	424
129	453	419
130	458	416
131	458	410
132	459	404
133	460	398
134	465	396
135	470	394
136	474	391
137	479	389
138	480	383
139	485	381
140	486	376
141	489	372
142	490	367
143	491	362
144	494	358
145	498	355
146	521	365
147	527	363
148	529	359
149	546	364
150	552	362
151	554	357
152	572	362
153	585	364
154	591	362
155	597	359
156	600	355
157	608	354
158	609	348
159	613	345
160	621	343
161	624	339
162	630	336
